Id,Time[ns],Parallel: Items
137,20049597560.00000000000000000000,F2
138,20049963480.00000000000000000000,20
139,20050347720.00000000000000000000,00
140,20050733020.00000000000000000000,00
141,20051483900.00000000000000000000,F1
142,20051868640.00000000000000000000,30
143,20052252320.00000000000000000000,00
144,20052591440.00000000000000000000,01
145,20053321380.00000000000000000000,F2
146,20053702300.00000000000000000000,00
147,20054064960.00000000000000000000,00
148,20054432640.00000000000000000000,01
149,20434047320.00000000000000000000,92
150,20434410040.00000000000000000000,54
151,20434777700.00000000000000000000,22
152,21459223720.00000000000000000000,92
153,21459609260.00000000000000000000,54
154,21459972360.00000000000000000000,2C
155,22662915780.00000000000000000000,DA
156,22662915820.00000000000000000000,92
157,22663279140.00000000000000000000,54
158,22663642140.00000000000000000000,07
159,30270566820.00000000000000000000,F1
160,30271019340.00000000000000000000,30
161,30271381920.00000000000000000000,20
162,30271767620.00000000000000000000,00
163,30272493200.00000000000000000000,B2
164,30272878640.00000000000000000000,02
165,30273241660.00000000000000000000,02
166,30273991640.00000000000000000000,F2
167,30274375180.00000000000000000000,30
168,30274742520.00000000000000000000,20
169,30275127100.00000000000000000000,00
